header.seq,header.frame_id,inputTime,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z
2143,1,35.7,3.56417377486244e-05,-0.0010029159,0.5919621797,0.000167021,-0.709221616,0.7049855634,-0.0001640554
2144,1,35.7166666667,3.47280140005486e-05,-0.0010174705,0.5771116574,0.0001615368,-0.7092144956,0.704992729,-0.000158509
2145,1,35.7333333333,3.38223624110177e-05,-0.0010307792,0.5622896333,0.000155778,-0.7092072386,0.705000032,-0.0001526833
2146,1,35.75,3.29252266742252e-05,-0.0010428815,0.5475080839,0.0001498454,-0.7091998589,0.7050074582,-0.0001466813
2147,1,35.7666666667,3.20370652495248e-05,-0.0010538193,0.5327785111,0.0001438261,-0.7091923695,0.7050149945,-0.0001405924
2148,1,35.7833333333,3.11583408965490e-05,-0.0010636358,0.5181119489,0.0001377945,-0.709184783,0.7050226283,-0.0001344927
2149,1,35.8,3.02895116540469e-05,-0.0010723746,0.5035189714,0.0001318131,-0.7091771111,0.7050303477,-0.0001284462
2150,1,35.8166666667,2.94310232037733e-05,-0.0010800794,0.4890097002,0.0001259333,-0.709169365,0.7050381415,-0.0001225055
2151,1,35.8333333333,2.85833025440606e-05,-0.001086794,0.4745938121,0.0001201965,-0.7091615551,0.705045999,-0.000116713
2152,1,35.85,2.77467528850479e-05,-0.0010925611,0.460280547,0.000114635,-0.7091536916,0.7050539102,-0.0001111015
2153,1,35.8666666667,2.69217496685579e-05,-0.0010974225,0.4460787155,0.0001092731,-0.7091457837,0.7050618656,-0.000105696
2154,1,35.8833333333,2.61086376098877e-05,-0.0011014189,0.4319967073,0.0001041277,-0.7091378405,0.7050698562,-0.0001005137
2155,1,35.9,2.53077286559227e-05,-0.0011045895,0.4180424993,9.92099028096272e-05,-0.7091298704,0.7050778736,-9.55657256212643e-05
2156,1,35.9166666667,2.45193007536014e-05,-0.001106972,0.4042236632,9.45251041102464e-05,-0.7091218813,0.7050859098,-9.08576386223066e-05
2157,1,35.9333333333,2.37435973244622e-05,-0.0011086025,0.3905473742,9.00744037930671e-05,-0.7091138808,0.7050939572,-8.63904040851887e-05
2158,1,35.95,2.29808273444425e-05,-0.0011095156,0.3770204194,8.58551254459088e-05,-0.7091058758,0.7051020087,-8.21611616038302e-05
2159,1,35.9666666667,2.22311659329212e-05,-0.0011097439,0.3636492052,8.18615658901782e-05,-0.7090978732,0.7051100577,-7.81639478162527e-05
2160,1,35.9833333333,2.14947553608932e-05,-0.0011093188,0.3504397668,7.80856332476303e-05,-0.7090898792,0.7051180977,-7.43903512292049e-05
2161,1,36,2.07717063948493e-05,-0.0011082698,0.3373977756,7.45174185694518e-05,-0.7090818996,0.7051261228,-7.08300989227064e-05
2162,1,36.0166666667,2.00620999001439e-05,-0.001106625,0.3245285479,7.11457017660232e-05,-0.7090739401,0.7051341276,-6.74715758729708e-05
2163,1,36.0333333333,1.93659886351566e-05,-0.0011044109,0.3118370534,6.79583936624204e-05,-0.7090660059,0.7051421066,-6.43022787504298e-05
2164,1,36.05,1.86833991751701e-05,-0.001101653,0.2993279234,6.49429168788608e-05,-0.7090581018,0.7051500552,-6.13092069475997e-05
2165,1,36.0666666667,1.80143339124566e-05,-0.001098375,0.287005459,6.20865289135129e-05,-0.7090502325,0.7051579685,-5.84791942915264e-05
2166,1,36.0833333333,1.73587730864202e-05,-0.0010945997,0.2748736397,5.93765913098702e-05,-0.7090424022,0.7051658424,-5.57991854145401e-05
2167,1,36.1,1.67166768046949e-05,-0.0010903488,0.2629361316,5.68007891392432e-05,-0.7090346149,0.7051736728,-5.32564611173940e-05
2168,1,36.1166666667,1.60879870227412e-05,-0.0010856429,0.2511962956,5.43473052412556e-05,-0.7090268744,0.7051814559,-5.08388172788188e-05
2169,1,36.1333333333,1.54726294556605e-05,-0.0010805017,0.2396571957,5.20049537602017e-05,-0.7090191842,0.7051891884,-4.85347019638360e-05
2170,1,36.15,1.48705154016116e-05,-0.0010749439,0.2283216073,4.97632775082462e-05,-0.7090115473,0.7051968669,-4.63333153799294e-05
2171,1,36.1666666667,1.42815434613289e-05,-0.0010689878,0.2171920251,4.76126135981741e-05,-0.7090039669,0.7052044885,-4.42246772385886e-05
2172,1,36.1833333333,1.37056011428098e-05,-0.0010626506,0.2062706715,4.55441316299945e-05,-0.7089964457,0.7052120504,-4.21996659197300e-05
2173,1,36.2,1.31425663442468e-05,-0.001055949,0.1955595045,4.35498485039733e-05,-0.7089889862,0.7052195501,-4.02500336200835e-05
2174,1,36.2166666667,1.25923087117471e-05,-0.0010488994,0.1850602254,4.16226236801232e-05,-0.7089815908,0.7052269852,-3.83684014073410e-05
2175,1,36.2333333333,1.20546908713327e-05,-0.0010415172,0.1747742875,3.97561384208787e-05,-0.7089742615,0.7052343536,-3.65482378130975e-05
2176,1,36.25,1.15295695371636e-05,-0.0010338178,0.1647029029,3.79448622523315e-05,-0.7089670004,0.7052416534,-3.47838242874304e-05
2177,1,36.2666666667,1.10167964999248e-05,-0.0010258159,0.1548470511,3.61840095666076e-05,-0.7089598092,0.7052488827,-3.30702105177475e-05
2178,1,36.2833333333,1.05162195008902e-05,-0.0010175258,0.1452074864,3.44694889726044e-05,-0.7089526895,0.70525604,-3.14031622910763e-05
