posetime,poseset,x,y,z,qx,qy,qz,qw,twistime,twistset,vx,vy,vz
1458160334.249360226,3,2.00102,1.01463,1.01179,-0.999315,0.000339585,-1.60046e-05,0.00053723,1458160334.249366147,3,0.00369832,-0.0145399,-0.00154486
1458160334.265931921,3,2.00036,1.01456,1.01213,-0.999283,0.000661084,0.000301708,0.000562151,1458160334.265937538,3,0.000145179,-0.013316,0.000346433
1458160334.282387963,3,1.99995,1.01457,1.01268,-0.999166,0.000277942,0.000398099,0.000241189,1458160334.282392835,3,-0.00201946,-0.0117773,0.00322423
1458160334.298984292,3,2.00027,1.01404,1.01322,-0.999228,-8.38553e-05,-0.000465843,-0.000387263,1458160334.298988850,3,-0.000285712,-0.0131166,0.00589896
1458160334.315735017,3,2.00057,1.01313,1.01341,-0.999477,-0.000996246,-2.87371e-05,0.000323706,1458160334.315739614,3,0.00124105,-0.0163365,0.00667901
1458160334.332300321,3,2.00061,1.01264,1.01316,-1.00001,-0.00121135,0.000327494,0.000695916,1458160334.332304700,3,0.00136381,-0.0172389,0.00513795
1458160334.349389507,3,2.00122,1.012,1.01336,-0.999812,-0.000400946,-0.000209038,0.000981087,1458160334.349395130,3,0.0044391,-0.0189124,0.00599709
1458160334.366014719,3,2.00122,1.01182,1.01306,-0.999707,-1.73318e-05,-2.21509e-06,0.000977469,1458160334.366019614,3,0.00420476,-0.0181919,0.00420628
1458160334.382512922,3,2.00098,1.01239,1.01209,-1.00038,-0.000614202,0.000754956,0.000910702,1458160334.382517557,3,0.00275114,-0.0135956,-0.000949714
1458160334.398962635,3,2.00113,1.01209,1.01246,-1.00009,-0.000813949,0.000530812,0.00135433,1458160334.398967123,3,0.00337692,-0.0136868,0.000964266
1458160334.415679581,3,2.00078,1.01175,1.01265,-1.00038,-0.00119614,0.000891846,0.00158168,1458160334.415684269,3,0.00139799,-0.0140351,0.00191652
1458160334.432429394,3,2.0003,1.01139,1.01242,-1.00054,-0.000336345,0.00129399,0.00104016,1458160334.432436376,3,-0.00116532,-0.0144491,0.000644689
1458160334.448964169,3,2.00043,1.01075,1.01205,-1.00069,-0.000590737,0.000494394,0.0012889,1458160334.448971483,3,-0.000518075,-0.0162856,-0.00128587
1458160334.466478628,3,2.0006,1.00951,1.01136,-1.00035,-0.000494876,0.000310446,0.00218807,1458160334.466485354,3,0.000374174,-0.021133,-0.00474764
1458160334.482521546,3,2.00025,1.00993,1.01083,-1.00035,-0.000143327,0.000736546,0.00228488,1458160334.482525849,3,-0.00150519,-0.0172333,-0.00726898
1458160334.499132344,3,2.00008,1.00928,1.01154,-1.00073,4.5396e-05,0.001508,0.00202274,1458160334.499136772,3,-0.00234598,-0.0190352,-0.00330414
1458160334.515501485,3,2.00012,1.00906,1.0115,-1.00112,-0.000539805,0.000666763,0.00162061,1458160334.515505695,3,-0.00202165,-0.0185138,-0.00332707
1458160334.532225698,3,2.00088,1.00885,1.01145,-1.00093,-0.000306361,0.000532737,0.0020033,1458160334.532230079,3,0.00190228,-0.0179634,-0.0033967
1458160334.548812349,3,2.00141,1.00796,1.0116,-1.00127,0.000132812,0.000467422,0.00269418,1458160334.548816584,3,0.00453133,-0.0209368,-0.00245869
1458160334.565566366,3,2.00138,1.00812,1.01208,-1.00152,0.000305006,-0.000523973,0.00222395,1458160334.565570328,3,0.00414726,-0.0184501,0.000164171
1458160334.582266891,3,2.00069,1.00779,1.0121,-1.00165,-0.000375159,-0.00151695,0.00246822,1458160334.582270613,3,0.000387575,-0.0185071,0.000301377
1458160334.598843347,3,2.00065,1.00709,1.012,-1.0019,-0.000726578,-0.00427315,0.00208811,1458160334.598847034,3,0.000130504,-0.0204801,-0.000220528
1458160334.615376397,3,2.00026,1.00698,1.01173,-1.00163,-0.000779112,-0.00779286,0.00164407,1458160334.615381983,3,-0.00187324,-0.0193707,-0.00156034
1458160334.632557487,3,2.00024,1.00607,1.01214,-1.00083,-0.000516456,-0.0136942,0.00168685,1458160334.632563042,3,-0.00193289,-0.0224042,0.000660497
1458160334.649014049,3,2.0004,1.00597,1.01188,-1.001,-0.00105598,-0.0201537,0.00111574,1458160334.649017571,3,-0.00108624,-0.021084,-0.000688652
1458160334.665310227,3,2.00002,1.00584,1.01237,-1.00047,-0.000796861,-0.0283438,0.00104807,1458160334.665313685,3,-0.00299174,-0.020051,0.00191825
1458160334.682135088,3,1.99944,1.00546,1.01245,-1.00053,-0.00111564,-0.0376507,0.00108356,1458160334.682138626,3,-0.00585502,-0.0203249,0.00226795
1458160334.699244994,3,1.99819,1.0048,1.01278,-1.0002,-0.00162708,-0.0473516,-0.000240298,1458160334.699250885,3,-0.0120302,-0.021989,0.00384747
1458160334.715902851,3,1.99758,1.00488,1.01331,-0.99822,-0.00127219,-0.0577454,-0.000438761,1458160334.715908476,3,-0.0146265,-0.0197873,0.00641648
1458160334.732538232,3,1.99654,1.00497,1.01381,-0.997601,-0.00063754,-0.0682235,-5.20329e-07,1458160334.732550817,3,-0.0192772,-0.0176666,0.00870281
1458160334.749279344,3,1.99467,1.00515,1.01428,-0.995201,-6.49454e-05,-0.0792251,-4.17259e-06,1458160334.749283214,3,-0.0279582,-0.0151488,0.0107235
1458160334.765390582,3,1.9919,1.00518,1.01552,-0.994132,0.000165258,-0.0897737,8.51457e-05,1458160334.765394389,3,-0.0408169,-0.0135164,0.0165925
1458160334.782605797,3,1.9897,1.00501,1.01662,-0.99352,0.000494032,-0.0991706,0.000877007,1458160334.782609883,3,-0.0501692,-0.0129958,0.0214553
1458160334.799430114,3,1.98607,1.00458,1.01719,-0.992277,0.000628268,-0.109418,0.00105628,1458160334.799435921,3,-0.0663241,-0.0138647,0.023368
1458160334.815540777,3,1.98181,1.00451,1.01782,-0.992251,0.000952554,-0.117775,0.00158223,1458160334.815544649,3,-0.0849255,-0.0128096,0.0254812
1458160334.832213607,3,1.97776,1.00421,1.01807,-0.99137,0.00087351,-0.125678,0.00182956,1458160334.832218001,3,-0.101498,-0.0130497,0.0254976
1458160334.848829111,3,1.97288,1.0033,1.01827,-0.991112,0.000640773,-0.131775,0.00172736,1458160334.848833220,3,-0.121504,-0.0163708,0.0251904
1458160334.865559416,3,1.96693,1.00348,1.01879,-0.990151,0.000465662,-0.13707,0.00109336,1458160334.865563798,3,-0.145901,-0.0139833,0.0265335
1458160334.882244957,3,1.95999,1.00376,1.0196,-0.990024,0.000738447,-0.142667,0.000444529,1458160334.882249508,3,-0.174134,-0.0111928,0.0292277
1458160334.899186939,3,1.95246,1.00372,1.02057,-0.989483,0.000472607,-0.145957,0.00109972,1458160334.899201066,3,-0.203838,-0.0101626,0.0326078
1458160334.915764326,3,1.94443,1.00471,1.02184,-0.989567,0.00115556,-0.149207,0.00083138,1458160334.915769372,3,-0.234563,-0.00393067,0.0373544
1458160334.932372862,3,1.93524,1.00356,1.02238,-0.989841,0.000148093,-0.151487,0.000562678,1458160334.932377641,3,-0.269566,-0.00892742,0.03811
1458160334.948957531,3,1.92567,1.00315,1.02296,-0.990507,-0.000174016,-0.15291,0.000754146,1458160334.948962238,3,-0.304633,-0.00997969,0.0389594
1458160334.965623765,3,1.91454,1.00295,1.02319,-0.988798,-0.00108018,-0.153006,0.000753861,1458160334.965637199,3,-0.345694,-0.00985406,0.0379525
1458160334.982369258,3,1.90254,1.00242,1.02411,-0.98894,-0.0012142,-0.152076,0.000508614,1458160334.982383647,3,-0.388978,-0.0115148,0.0404626
1458160334.999065279,3,1.88857,1.00323,1.02533,-0.98887,-0.00089992,-0.149921,0.00124433,1458160334.999070050,3,-0.439941,-0.00619702,0.0443533
1458160335.015797311,3,1.87558,1.00293,1.0264,-0.989631,-0.0012134,-0.146897,0.000290969,1458160335.015803809,3,-0.483017,-0.00678253,0.0472476
1458160335.032379610,3,1.86223,1.00313,1.02628,-0.990585,-0.00197291,-0.143055,2.49404e-05,1458160335.032384450,3,-0.525528,-0.00483222,0.0439103
1458160335.049178078,3,1.84687,1.00365,1.02657,-0.991469,-0.00231117,-0.138894,-0.000393703,1458160335.049183598,3,-0.575671,-0.0013898,0.0426888
1458160335.065997225,3,1.83151,1.00293,1.02679,-0.991984,-0.00223259,-0.133588,-0.000127358,1458160335.066002510,3,-0.62293,-0.00439239,0.0411566
1458160335.082568253,3,1.81538,1.00323,1.0278,-0.991282,-0.00169177,-0.128474,0.000832646,1458160335.082573184,3,-0.671227,-0.00210492,0.0437105
1458160335.099235027,3,1.79833,1.00355,1.02854,-0.992167,-0.000891877,-0.121466,0.00165396,1458160335.099240225,3,-0.721437,0.000149691,0.0447566
1458160335.115818211,3,1.77959,1.0023,1.02994,-0.993682,-0.000427824,-0.114894,0.00142045,1458160335.115823235,3,-0.776934,-0.0057034,0.0490602
1458160335.132290135,3,1.76161,1.00241,1.02974,-0.994636,-0.000892615,-0.108272,0.00110731,1458160335.132294884,3,-0.825401,-0.00437705,0.0449048
1458160335.148976368,3,1.74319,1.00248,1.03013,-0.995665,-0.000407484,-0.10107,0.00160663,1458160335.148980965,3,-0.872882,-0.003354,0.0439711
1458160335.165612179,3,1.72338,1.00163,1.03121,-0.996205,0.000451644,-0.0938593,0.000764843,1458160335.165616866,3,-0.924379,-0.00703873,0.0465187
1458160335.182385504,3,1.70269,1.00205,1.03169,-0.996572,0.000470855,-0.0865584,0.000614236,1458160335.182389786,3,-0.977061,-0.00412636,0.0459035
1458160335.198979945,3,1.6828,1.00219,1.03214,-0.995758,5.48832e-05,-0.0783538,0.000516971,1458160335.198984253,3,-1.02203,-0.00276061,0.0450828
1458160335.215518957,3,1.66233,1.00217,1.03252,-0.996699,0.000309152,-0.0698416,0.000391149,1458160335.215523269,3,-1.06715,-0.00228898,0.043922
1458160335.232262912,3,1.64099,1.00185,1.03391,-0.997104,0.000652652,-0.0623927,-0.000304727,1458160335.232267340,3,-1.1132,-0.00341214,0.0479482
1458160335.248889816,3,1.61883,1.00206,1.03401,-0.99841,0.00127799,-0.0549601,-0.000689713,1458160335.248894139,3,-1.16045,-0.00174557,0.0451414
1458160335.265858537,3,1.59681,1.0028,1.03447,-0.99941,0.00144396,-0.0475968,-0.000172991,1458160335.265872830,3,-1.20345,0.0025249,0.0443162
1458160335.282518193,3,1.57452,1.00289,1.03441,-0.999646,0.00120506,-0.042002,-0.000349575,1458160335.282522760,3,-1.24486,0.00324546,0.0408084
1458160335.299042051,3,1.55126,1.00256,1.03522,-1.00037,0.00208153,-0.0349383,-0.000555213,1458160335.299046469,3,-1.28798,0.00180254,0.0418945
1458160335.315644171,3,1.52803,1.00242,1.03506,-1.00056,0.00178625,-0.027954,-0.000869423,1458160335.315648711,3,-1.32785,0.00136292,0.0379109
1458160335.332219988,3,1.50364,1.00194,1.03453,-1.00101,0.00231485,-0.0215039,-0.00122108,1458160335.332224356,3,-1.37064,-0.000848585,0.032237
1458160335.348893610,3,1.48066,1.00242,1.03512,-1.00112,0.00219933,-0.0152716,-0.000965694,1458160335.348897945,3,-1.40263,0.00200221,0.0325291
1458160335.365475532,3,1.45813,1.00242,1.03485,-1.00146,0.00171114,-0.00958664,-0.000947972,1458160335.365481989,3,-1.42999,0.00219253,0.0284091
1458160335.382572089,3,1.43516,1.00222,1.03474,-1.00212,0.00192658,-0.00397984,-0.000785918,1458160335.382576820,3,-1.45649,0.00132986,0.0252673
1458160335.399170234,3,1.41172,1.00231,1.03424,-1.00217,0.00223366,0.000810576,-0.000316395,1458160335.399175002,3,-1.48337,0.00203932,0.0202823
1458160335.415621016,3,1.38829,1.00187,1.03393,-1.00243,0.00184532,0.00521289,0.000808755,1458160335.415625308,3,-1.50741,-5.31744e-05,0.0165338
1458160335.432242516,3,1.36596,1.00167,1.03324,-1.00205,0.00230751,0.00930003,1.06855e-05,1458160335.432246690,3,-1.52372,-0.00082728,0.011014
1458160335.448798303,3,1.34346,1.00083,1.0329,-1.00281,0.00116751,0.0128436,-0.000424048,1458160335.448802179,3,-1.53868,-0.0048963,0.00752363
1458160335.465518506,3,1.32113,1.00017,1.03257,-1.00235,0.000930385,0.0171948,0.000965439,1458160335.465522270,3,-1.55082,-0.00782974,0.00432575
1458160335.482151045,3,1.29792,0.999853,1.03272,-1.00248,0.000243289,0.0205743,0.0020859,1458160335.482154902,3,-1.56579,-0.00886847,0.00375301
1458160335.498861662,3,1.27529,0.998806,1.03252,-1.00178,0.000143042,0.023912,0.00165224,1458160335.498865571,3,-1.57566,-0.0136107,0.00139107
1458160335.515484883,3,1.25305,0.999114,1.03249,-1.00166,-0.000655694,0.0264989,0.00180581,1458160335.515488603,3,-1.58205,-0.0111878,0.000141102
1458160335.532172874,3,1.2308,0.998839,1.03271,-1.00192,-0.00144005,0.0295703,0.00126445,1458160335.532176861,3,-1.58717,-0.0118534,0.000206696
1458160335.548703857,3,1.2078,0.998756,1.03185,-1.00214,-0.00130696,0.031605,0.00181835,1458160335.548707697,3,-1.59471,-0.0114936,-0.00517023
