header.seq,header.frame_id,inputTime,pose.position.x,pose.position.y,pose.position.z,pose.orientation.w,pose.orientation.x,pose.orientation.y,pose.orientation.z
38,1,0.6166666667,7.28155765252306e-11,3.48023858169347e-09,0.2258862666,-7.17190132787846e-11,2.43549711310970e-06,1,3.44013832901314e-09
39,1,0.6333333333,6.79149156814520e-11,3.24649809490243e-09,0.234801043,-6.01600358396924e-11,2.41144546082787e-06,1,2.88927192930779e-09
40,1,0.65,6.26861065160491e-11,2.99699978678498e-09,0.2437187515,-4.82791456043023e-11,2.38490246643908e-06,1,2.32264898596978e-09
41,1,0.6666666667,5.71946489358499e-11,2.73486741898473e-09,0.2526314484,-3.62874351526070e-11,2.35603534208859e-06,1,1.75033708378832e-09
42,1,0.6833333333,5.15062502668576e-11,2.46323682489411e-09,0.2615314857,-2.43864436171988e-11,2.32500643371381e-06,1,1.18195758640798e-09
43,1,0.7,4.56857524861279e-11,2.18520468493580e-09,0.2704115072,-1.27649338609300e-11,2.29197321211934e-06,1,6.26531418002242e-10
44,1,0.7166666667,3.97961395859566e-11,1.90378107671157e-09,0.279264444,-1.59611469919504e-12,2.25708827047938e-06,1,9.23459705090431e-11
45,1,0.7333333333,3.38976379860634e-11,1.62184641982398e-09,0.2880835103,8.96466303289956e-12,2.22049932820163e-06,1,-4.13155679818349e-10
46,1,0.75,2.80469203003077e-11,1.34211331200181e-09,0.2968621989,1.87817296773275e-11,2.18234924111824e-06,1,-8.83462659073158e-10
47,1,0.7666666667,2.22964201788709e-11,1.06709363005246e-09,0.305594277,2.77404323090844e-11,2.14277601772576e-06,1,-1.31306101694625e-09
48,1,0.7833333333,1.66937633914490e-11,7.99071147664977e-10,0.3142737811,3.57479865323939e-11,2.10191284150293e-06,1,-1.69747548702744e-09
49,1,0.8,1.12813178383777e-11,5.40079804375898e-10,0.3228950128,4.27338638187082e-11,2.05988809888736e-06,1,-2.03328922650891e-09
50,1,0.8166666667,6.09586283923600e-12,2.91887649116221e-10,0.3314525337,4.86497333234571e-11,2.01682541302282e-06,1,-2.31814240428822e-09
51,1,0.8333333333,1.16837585492820e-12,5.59863775057485e-11,0.339941161,5.34689925359098e-11,1.97284368297835e-06,1,-2.55071109786864e-09
